2008-1-8T21:0:0,161.179993,160.845001,161.350006,160.845001,160.081497,160.558502,160.117996,161.510010,0.000000,0.000000
2008-1-8T22:0:0,160.850006,160.250000,160.929993,160.330002,160.081497,160.558502,160.117996,161.510010,0.000000,0.000000
2008-1-8T23:0:0,160.339996,160.130005,160.389999,160.160004,160.081497,160.558502,160.117996,161.510010,0.000000,0.000000
2008-1-9T0:0:0,160.149994,160.019989,160.290009,160.239990,160.117996,161.510010,160.019989,160.290009,0.000000,0.000000
2008-1-9T1:0:0,160.230011,160.199997,160.330002,160.279999,160.117996,161.510010,160.019989,160.330002,0.000000,0.000000
2008-1-9T2:0:0,160.290009,160.139999,160.500000,160.489990,160.117996,161.510010,160.019989,160.500000,0.000000,0.000000
2008-1-9T3:0:0,160.480011,160.380005,160.619995,160.619995,160.117996,161.510010,160.019989,160.619995,0.000000,0.000000
2008-1-9T4:0:0,160.600006,160.440002,160.610001,160.500000,160.117996,161.510010,160.019989,160.619995,0.000000,0.000000
2008-1-9T5:0:0,160.489990,160.369995,160.500000,160.489990,160.117996,161.510010,160.019989,160.619995,0.000000,0.000000
2008-1-9T6:0:0,160.480011,160.480011,160.709991,160.679993,160.117996,161.510010,160.019989,160.709991,0.000000,0.000000
2008-1-9T7:0:0,160.690002,160.660004,161.290009,161.230011,160.117996,161.510010,160.019989,161.290009,0.000000,0.000000
2008-1-9T8:0:0,161.220001,161.179993,161.529999,161.440002,160.117996,161.510010,160.019989,161.529999,0.000000,0.000000
2008-1-9T9:0:0,161.449997,161.360001,161.669998,161.429993,160.117996,161.510010,160.019989,161.669998,0.000000,0.000000
2008-1-9T10:0:0,161.440002,160.730011,161.440002,160.830002,160.117996,161.510010,160.019989,161.669998,0.000000,0.000000
2008-1-9T11:0:0,160.839996,160.529999,160.985001,160.690002,160.117996,161.510010,160.019989,161.669998,0.000000,0.000000
2008-1-9T12:0:0,160.679993,160.679993,161.294998,160.869995,160.117996,161.510010,160.019989,161.669998,0.000000,0.000000
2008-1-9T13:0:0,160.880005,160.580002,161.119995,160.839996,160.117996,161.510010,160.019989,161.669998,0.000000,0.000000
2008-1-9T14:0:0,160.850006,160.669998,160.980011,160.809998,160.117996,161.510010,160.019989,161.669998,0.000000,0.000000
